نام محصول,لینک عکس سایت,لینک عکس نهایی
دلارام,https://delarammusic.com/Uploads/site-1/FeaturedImage/3341.jpg,https://shahresaz.com/wp-content/uploads/2025/5/image_1.webp
دلارام,https://delarammusic.com/Uploads/site-1/OtherImages/2057.jpg,https://shahresaz.com/wp-content/uploads/2025/5/image_2.webp
